sales_record_id,week_id,week_ending_date,fiscal_year,fiscal_month,quarter,market_id,market_name,state,region,channel_id,channel_name,retailer_id,retailer_name,retailer_scope,category_id,category_name,subcategory_id,subcategory_name,manufacturer_id,manufacturer_name,brand_id,brand_name,product_id,upc,product_description,package_size,package_uom,pack_count,units_sold,base_units,incremental_units,promo_units,volume_sold,dollar_sales,base_dollar_sales,promo_dollar_sales,average_unit_price,realized_unit_price,distribution_pct,market_share_pct,is_promoted,data_source,promo_lift_pct,price_per_volume_unit,load_timestamp
FCT000001,W0006,12-18-2025,2025,7,Q3,MKT004,Houston,TX,South,CH002,Drug Store,RET002,Regional Foods,Regional,CAT001,Deodorants & Fragrances,SUB001,Aerosol Deodorant,MFG001,Unilever,BR005-Lume,Lume,PROD003,765,Lume Aerosol Deodorant Fresh,6,CT,2,65,65,0,0,780,885.3,885.3,0,13.62,13.62,22.0,3.06,0,CIRCANA_SYNTHETIC,0,1.135,2026-09-03T10:30:00Z
FCT000002,W0022,05-07-2026,2026,3,Q1,MKT010,San Jose,CA,West,CH003,Mass Merchandiser,RET001,National Grocery Co,National,CAT001,Deodorants & Fragrances,SUB002,Stick Deodorant,MFG002,Procter & Gamble,BR009-Native,Native,PROD104,370,Native Stick Deodorant Original,24,OZ,1,440,440,0,0,10560,4725.6,4725.6,0,10.74,10.74,46.9,5.22,0,CIRCANA_SYNTHETIC,0,0.4475,2026-09-03T10:30:00Z
FCT000003,W0024,12-25-2025,2025,4,Q2,MKT007,San Antonio,TX,South,CH001,Grocery,RET005,Warehouse Club,National,CAT001,Deodorants & Fragrances,SUB005,Antiperspirant,MFG003,Henkel,BR015-Right Guard,Right Guard,PROD401,564,Right Guard Antiperspirant Light,12,FL OZ,1,73,73,0,0,876,1581.91,1581.91,0,21.67,21.67,85.0,5.76,0,CIRCANA_SYNTHETIC,0,1.8058,2026-09-03T10:30:00Z
FCT000004,W0035,10-16-2025,2025,4,Q2,MKT004,Houston,TX,South,CH003,Mass Merchandiser,RET001,National Grocery Co,National,CAT001,Deodorants & Fragrances,SUB003,Roll-On Deodorant,MFG005,Colgate Palmolive,BR022-Speed-Stick,Speed,PROD203,886,Speed Roll-On Deodorant Original,30,FL OZ,6,286,286,0,0,51480,5099.38,5099.38,0,17.83,17.83,36.5,4.93,0,CIRCANA_SYNTHETIC,0,0.0991,2026-09-03T10:30:00Z
FCT000005,W0046,04-16-2026,2026,4,Q2,MKT007,San Antonio,TX,South,CH003,Mass Merchandiser,RET001,National Grocery Co,National,CAT001,Deodorants & Fragrances,SUB001,Aerosol Deodorant,MFG002,Procter & Gamble,BR010-Olay,Olay,PROD003,538,Olay Aerosol Deodorant Fresh,48,CT,3,416,252,164,164,59904,2134.56,1312.92,821.64,5.21,5.01,60.4,11.23,1,CIRCANA_SYNTHETIC,65.08,0.0348,2026-09-03T10:30:00Z
FCT000006,W0008,07-02-2026,2026,11,Q4,MKT003,Chicago,IL,Midwest,CH005,Club,RET004,Online Direct,National,CAT001,Deodorants & Fragrances,SUB003,Roll-On Deodorant,MFG001,Unilever,BR001-Dove,Dove,PROD202,357,Dove Roll-On Deodorant Fresh,30,PACK,1,455,455,0,0,13650,4936.75,4936.75,0,10.85,10.85,64.7,7.07,0,CIRCANA_SYNTHETIC,0,0.3617,2026-09-03T10:30:00Z
FCT000007,W0011,02-12-2026,2025,1,Q1,MKT005,Phoenix,AZ,West,CH003,Mass Merchandiser,RET001,National Grocery Co,National,CAT001,Deodorants & Fragrances,SUB001,Aerosol Deodorant,MFG003,Henkel,BR014-Dial,Dial,PROD005,256,Dial Aerosol Deodorant Light,8,PACK,1,501,306,195,195,4008,10579.62,6738.12,3841.5,22.02,19.7,67.9,9.17,1,CIRCANA_SYNTHETIC,63.73,2.4625,2026-09-03T10:30:00Z
FCT000008,W0008,03-26-2026,2026,5,Q2,MKT001,New York,NY,Northeast,CH005,Club,RET003,Pharmacy Plus,Regional,CAT001,Deodorants & Fragrances,SUB005,Antiperspirant,MFG004,Church & Dwight,BR016-Arm-Hammer,Arm,PROD405,878,Arm Antiperspirant Fresh,12,PACK,1,79,79,0,0,948,313.63,313.63,0,3.97,3.97,56.4,1.13,0,CIRCANA_SYNTHETIC,0,0.3308,2026-09-03T10:30:00Z
FCT000009,W0028,06-04-2026,2026,9,Q3,MKT009,Dallas,TX,South,CH002,Drug Store,RET003,Pharmacy Plus,Regional,CAT001,Deodorants & Fragrances,SUB002,Stick Deodorant,MFG005,Colgate Palmolive,BR025-Palmolive,Palmolive,PROD104,223,Palmolive Stick Deodorant Organic,18,ROLL,6,415,415,0,0,44820,7034.25,7034.25,0,16.95,16.95,52.9,7.81,0,CIRCANA_SYNTHETIC,0,0.1569,2026-09-03T10:30:00Z
FCT000010,W0015,09-03-2026,2026,2,Q1,MKT001,New York,NY,Northeast,CH005,Club,RET005,Warehouse Club,National,CAT001,Deodorants & Fragrances,SUB001,Aerosol Deodorant,MFG002,Procter & Gamble,BR010-Olay,Olay,PROD003,319,Olay Aerosol Deodorant Fresh,6,OZ,3,167,167,0,0,3006,606.21,606.21,0,3.63,3.63,37.9,10.07,0,CIRCANA_SYNTHETIC,0,0.2017,2026-09-03T10:30:00Z
FCT000011,W0007,07-23-2026,2026,11,Q4,MKT008,San Diego,CA,West,CH002,Drug Store,RET004,Online Direct,National,CAT001,Deodorants & Fragrances,SUB005,Antiperspirant,MFG004,Church & Dwight,BR017-Nubian,Nubian,PROD405,845,Nubian Antiperspirant Light,30,ROLL,6,339,231,108,108,61020,1083.39,750.75,332.64,3.25,3.08,68.5,1.0,1,CIRCANA_SYNTHETIC,46.75,0.0171,2026-09-03T10:30:00Z
FCT000012,W0012,05-07-2026,2026,8,Q3,MKT004,Houston,TX,South,CH005,Club,RET004,Online Direct,National,CAT001,Deodorants & Fragrances,SUB002,Stick Deodorant,MFG002,Procter & Gamble,BR009-Native,Native,PROD102,115,Native Stick Deodorant Original,6,ROLL,5,497,497,0,0,14910,2112.25,2112.25,0,4.25,4.25,68.9,8.15,0,CIRCANA_SYNTHETIC,0,0.1417,2026-09-03T10:30:00Z
FCT000013,W0011,03-19-2026,2026,1,Q1,MKT008,San Diego,CA,West,CH004,E-Commerce,RET002,Regional Foods,Regional,CAT001,Deodorants & Fragrances,SUB002,Stick Deodorant,MFG004,Church & Dwight,BR016-Arm-Hammer,Arm,PROD104,598,Arm Stick Deodorant Organic,48,FL OZ,4,385,185,200,200,73920,6791.7,3333.7,3458.0,18.02,17.29,78.8,9.96,1,CIRCANA_SYNTHETIC,108.11,0.0901,2026-09-03T10:30:00Z
FCT000014,W0004,08-13-2026,2026,10,Q4,MKT001,New York,NY,Northeast,CH005,Club,RET005,Warehouse Club,National,CAT001,Deodorants & Fragrances,SUB003,Roll-On Deodorant,MFG001,Unilever,BR003-Degree,Degree,PROD202,340,Degree Roll-On Deodorant Classic,8,OZ,5,442,307,135,135,17680,1633.83,1178.88,454.95,3.84,3.37,64.6,10.16,1,CIRCANA_SYNTHETIC,43.97,0.0843,2026-09-03T10:30:00Z
FCT000015,W0027,11-13-2025,2025,10,Q4,MKT010,San Jose,CA,West,CH005,Club,RET001,National Grocery Co,National,CAT001,Deodorants & Fragrances,SUB005,Antiperspirant,MFG005,Colgate Palmolive,BR021-Tom's,Tom's,PROD402,869,Tom's Antiperspirant Original,24,CT,3,235,183,52,52,16920,2579.9,2031.3,548.6,11.1,10.55,42.5,4.81,1,CIRCANA_SYNTHETIC,28.42,0.1465,2026-09-03T10:30:00Z
FCT000016,W0033,05-14-2026,2026,3,Q1,MKT010,San Jose,CA,West,CH001,Grocery,RET001,National Grocery Co,National,CAT001,Deodorants & Fragrances,SUB004,Gel Deodorant,MFG005,Colgate Palmolive,BR022-Speed-Stick,Speed,PROD305,926,Speed Gel Deodorant Fresh,24,FL OZ,2,147,85,62,62,7056,1724.3,1026.8,697.5,12.08,11.25,42.7,14.76,1,CIRCANA_SYNTHETIC,72.94,0.2344,2026-09-03T10:30:00Z
FCT000017,W0048,01-01-2026,2025,3,Q1,MKT002,Los Angeles,CA,West,CH002,Drug Store,RET003,Pharmacy Plus,Regional,CAT001,Deodorants & Fragrances,SUB005,Antiperspirant,MFG001,Unilever,BR001-Dove,Dove,PROD403,966,Dove Antiperspirant Original,12,FL OZ,2,348,194,154,154,8352,6137.82,3455.14,2682.68,17.81,17.42,57.9,3.84,1,CIRCANA_SYNTHETIC,79.38,0.7258,2026-09-03T10:30:00Z
FCT000018,W0011,10-09-2025,2025,8,Q3,MKT001,New York,NY,Northeast,CH001,Grocery,RET003,Pharmacy Plus,Regional,CAT001,Deodorants & Fragrances,SUB004,Gel Deodorant,MFG002,Procter & Gamble,BR008-Secret,Secret,PROD303,251,Secret Gel Deodorant Classic,6,OZ,6,339,337,2,2,12204,7722.71,7680.23,42.48,22.79,21.24,82.6,8.78,1,CIRCANA_SYNTHETIC,0.59,0.59,2026-09-03T10:30:00Z
FCT000019,W0043,07-23-2026,2026,6,Q2,MKT006,Philadelphia,PA,Northeast,CH001,Grocery,RET003,Pharmacy Plus,Regional,CAT001,Deodorants & Fragrances,SUB001,Aerosol Deodorant,MFG002,Procter & Gamble,BR007-Old Spice,Old Spice,PROD003,854,Old Spice Aerosol Deodorant Light,8,CT,2,558,367,191,191,8928,13511.31,8973.15,4538.16,24.45,23.76,86.1,0.47,1,CIRCANA_SYNTHETIC,52.04,1.485,2026-09-03T10:30:00Z
FCT000020,W0015,06-11-2026,2026,8,Q3,MKT003,Chicago,IL,Midwest,CH001,Grocery,RET004,Online Direct,National,CAT001,Deodorants & Fragrances,SUB002,Stick Deodorant,MFG001,Unilever,BR004-Rexona,Rexona,PROD103,385,Rexona Stick Deodorant Light,12,OZ,6,264,206,58,58,19008,1662.46,1326.64,335.82,6.44,5.79,84.8,14.51,1,CIRCANA_SYNTHETIC,28.16,0.0804,2026-09-03T10:30:00Z
FCT000021,W0017,08-20-2026,2026,2,Q1,MKT001,New York,NY,Northeast,CH001,Grocery,RET003,Pharmacy Plus,Regional,CAT001,Deodorants & Fragrances,SUB005,Antiperspirant,MFG002,Procter & Gamble,BR010-Olay,Olay,PROD403,145,Olay Antiperspirant Classic,24,ROLL,5,412,226,186,186,49440,9543.46,5568.64,3974.82,24.64,21.37,87.5,2.93,1,CIRCANA_SYNTHETIC,82.3,0.1781,2026-09-03T10:30:00Z
FCT000022,W0040,04-16-2026,2026,11,Q4,MKT004,Houston,TX,South,CH003,Mass Merchandiser,RET004,Online Direct,National,CAT001,Deodorants & Fragrances,SUB005,Antiperspirant,MFG001,Unilever,BR003-Degree,Degree,PROD405,667,Degree Antiperspirant Organic,18,PACK,3,418,418,0,0,22572,7248.12,7248.12,0,17.34,17.34,44.5,10.49,0,CIRCANA_SYNTHETIC,0,0.3211,2026-09-03T10:30:00Z
FCT000023,W0036,09-03-2026,2026,5,Q2,MKT003,Chicago,IL,Midwest,CH005,Club,RET005,Warehouse Club,National,CAT001,Deodorants & Fragrances,SUB004,Gel Deodorant,MFG003,Henkel,BR014-Dial,Dial,PROD304,915,Dial Gel Deodorant Organic,24,ROLL,4,267,157,110,110,25632,3090.99,1910.69,1180.3,12.17,10.73,55.5,13.53,1,CIRCANA_SYNTHETIC,70.06,0.1118,2026-09-03T10:30:00Z
FCT000024,W0015,09-11-2025,2025,4,Q2,MKT010,San Jose,CA,West,CH003,Mass Merchandiser,RET001,National Grocery Co,National,CAT001,Deodorants & Fragrances,SUB003,Roll-On Deodorant,MFG002,Procter & Gamble,BR008-Secret,Secret,PROD205,744,Secret Roll-On Deodorant Fresh,4,CT,4,62,62,0,0,992,995.72,995.72,0,16.06,16.06,77.6,6.89,0,CIRCANA_SYNTHETIC,0,1.0037,2026-09-03T10:30:00Z
FCT000025,W0050,02-26-2026,2025,4,Q2,MKT007,San Antonio,TX,South,CH002,Drug Store,RET002,Regional Foods,Regional,CAT001,Deodorants & Fragrances,SUB004,Gel Deodorant,MFG001,Unilever,BR001-Dove,Dove,PROD304,920,Dove Gel Deodorant Classic,48,OZ,5,461,461,0,0,110640,3563.53,3563.53,0,7.73,7.73,83.6,6.9,0,CIRCANA_SYNTHETIC,0,0.0322,2026-09-03T10:30:00Z
FCT000026,W0048,02-05-2026,2025,8,Q3,MKT009,Dallas,TX,South,CH004,E-Commerce,RET005,Warehouse Club,National,CAT001,Deodorants & Fragrances,SUB004,Gel Deodorant,MFG004,Church & Dwight,BR017-Nubian,Nubian,PROD305,378,Nubian Gel Deodorant Light,18,PACK,4,497,434,63,63,35784,8047.97,7126.28,921.69,16.42,14.63,25.8,4.36,1,CIRCANA_SYNTHETIC,14.52,0.2032,2026-09-03T10:30:00Z
FCT000027,W0046,06-04-2026,2026,2,Q1,MKT003,Chicago,IL,Midwest,CH002,Drug Store,RET002,Regional Foods,Regional,CAT001,Deodorants & Fragrances,SUB005,Antiperspirant,MFG004,Church & Dwight,BR017-Nubian,Nubian,PROD401,812,Nubian Antiperspirant Original,48,ROLL,1,342,258,84,84,16416,2262.36,1744.08,518.28,6.76,6.17,87.9,8.8,1,CIRCANA_SYNTHETIC,32.56,0.1285,2026-09-03T10:30:00Z
FCT000028,W0048,10-09-2025,2025,9,Q3,MKT006,Philadelphia,PA,Northeast,CH003,Mass Merchandiser,RET004,Online Direct,National,CAT001,Deodorants & Fragrances,SUB004,Gel Deodorant,MFG004,Church & Dwight,BR020-Trojan,Trojan,PROD301,917,Trojan Gel Deodorant Classic,12,FL OZ,4,299,299,0,0,14352,3937.83,3937.83,0,13.17,13.17,49.2,10.07,0,CIRCANA_SYNTHETIC,0,0.2744,2026-09-03T10:30:00Z
FCT000029,W0037,11-13-2025,2025,1,Q1,MKT010,San Jose,CA,West,CH005,Club,RET001,National Grocery Co,National,CAT001,Deodorants & Fragrances,SUB004,Gel Deodorant,MFG004,Church & Dwight,BR020-Trojan,Trojan,PROD302,565,Trojan Gel Deodorant Light,30,CT,4,379,379,0,0,45480,2342.22,2342.22,0,6.18,6.18,39.5,4.98,0,CIRCANA_SYNTHETIC,0,0.0515,2026-09-03T10:30:00Z
FCT000030,W0048,01-08-2026,2025,1,Q1,MKT007,San Antonio,TX,South,CH003,Mass Merchandiser,RET001,National Grocery Co,National,CAT001,Deodorants & Fragrances,SUB004,Gel Deodorant,MFG004,Church & Dwight,BR016-Arm-Hammer,Arm,PROD303,229,Arm Gel Deodorant Classic,6,OZ,1,330,164,166,166,1980,7392.44,3909.76,3482.68,23.84,20.98,21.5,2.37,1,CIRCANA_SYNTHETIC,101.22,3.4967,2026-09-03T10:30:00Z
FCT000031,W0039,10-09-2025,2025,12,Q4,MKT008,San Diego,CA,West,CH003,Mass Merchandiser,RET003,Pharmacy Plus,Regional,CAT001,Deodorants & Fragrances,SUB005,Antiperspirant,MFG002,Procter & Gamble,BR010-Olay,Olay,PROD402,484,Olay Antiperspirant Classic,8,FL OZ,1,448,448,0,0,3584,6858.88,6858.88,0,15.31,15.31,89.7,8.68,0,CIRCANA_SYNTHETIC,0,1.9138,2026-09-03T10:30:00Z
FCT000032,W0051,12-25-2025,2025,1,Q1,MKT004,Houston,TX,South,CH001,Grocery,RET003,Pharmacy Plus,Regional,CAT001,Deodorants & Fragrances,SUB001,Aerosol Deodorant,MFG005,Colgate Palmolive,BR021-Tom's,Tom's,PROD005,543,Tom's Aerosol Deodorant Light,24,OZ,5,431,322,109,109,51720,7007.09,5438.58,1568.51,16.89,14.39,51.5,7.4,1,CIRCANA_SYNTHETIC,33.85,0.1199,2026-09-03T10:30:00Z
FCT000033,W0050,02-05-2026,2025,8,Q3,MKT003,Chicago,IL,Midwest,CH005,Club,RET003,Pharmacy Plus,Regional,CAT001,Deodorants & Fragrances,SUB002,Stick Deodorant,MFG005,Colgate Palmolive,BR025-Palmolive,Palmolive,PROD104,575,Palmolive Stick Deodorant Fresh,18,FL OZ,2,659,472,187,187,23724,13371.06,9963.92,3407.14,21.11,18.22,86.1,3.73,1,CIRCANA_SYNTHETIC,39.62,0.5061,2026-09-03T10:30:00Z
FCT000034,W0023,09-11-2025,2025,5,Q2,MKT008,San Diego,CA,West,CH003,Mass Merchandiser,RET002,Regional Foods,Regional,CAT001,Deodorants & Fragrances,SUB003,Roll-On Deodorant,MFG004,Church & Dwight,BR017-Nubian,Nubian,PROD201,668,Nubian Roll-On Deodorant Organic,18,PACK,1,345,193,152,152,6210,4533.24,2678.84,1854.4,13.88,12.2,38.1,6.16,1,CIRCANA_SYNTHETIC,78.76,0.6778,2026-09-03T10:30:00Z
FCT000035,W0045,05-21-2026,2026,5,Q2,MKT001,New York,NY,Northeast,CH001,Grocery,RET003,Pharmacy Plus,Regional,CAT001,Deodorants & Fragrances,SUB004,Gel Deodorant,MFG002,Procter & Gamble,BR009-Native,Native,PROD304,336,Native Gel Deodorant Original,24,ROLL,6,433,292,141,141,62352,6146.15,4280.72,1865.43,14.66,13.23,54.0,4.67,1,CIRCANA_SYNTHETIC,48.29,0.0919,2026-09-03T10:30:00Z
FCT000036,W0018,10-16-2025,2025,10,Q4,MKT009,Dallas,TX,South,CH002,Drug Store,RET002,Regional Foods,Regional,CAT001,Deodorants & Fragrances,SUB003,Roll-On Deodorant,MFG002,Procter & Gamble,BR009-Native,Native,PROD201,155,Native Roll-On Deodorant Fresh,18,CT,3,150,101,49,49,8100,874.91,619.13,255.78,6.13,5.22,60.1,4.19,1,CIRCANA_SYNTHETIC,48.51,0.0967,2026-09-03T10:30:00Z
FCT000037,W0031,02-19-2026,2025,6,Q2,MKT002,Los Angeles,CA,West,CH001,Grocery,RET005,Warehouse Club,National,CAT001,Deodorants & Fragrances,SUB002,Stick Deodorant,MFG003,Henkel,BR014-Dial,Dial,PROD104,744,Dial Stick Deodorant Original,18,ROLL,1,76,76,0,0,1368,1589.16,1589.16,0,20.91,20.91,50.1,1.2,0,CIRCANA_SYNTHETIC,0,1.1617,2026-09-03T10:30:00Z
FCT000038,W0049,03-05-2026,2025,10,Q4,MKT005,Phoenix,AZ,West,CH001,Grocery,RET002,Regional Foods,Regional,CAT001,Deodorants & Fragrances,SUB002,Stick Deodorant,MFG001,Unilever,BR005-Lume,Lume,PROD105,682,Lume Stick Deodorant Fresh,30,ROLL,4,447,447,0,0,53640,3951.48,3951.48,0,8.84,8.84,64.1,6.49,0,CIRCANA_SYNTHETIC,0,0.0737,2026-09-03T10:30:00Z
FCT000039,W0016,06-18-2026,2026,9,Q3,MKT004,Houston,TX,South,CH002,Drug Store,RET003,Pharmacy Plus,Regional,CAT001,Deodorants & Fragrances,SUB005,Antiperspirant,MFG001,Unilever,BR002-Axe,Axe,PROD401,395,Axe Antiperspirant Light,4,ROLL,4,130,130,0,0,2080,2321.8,2321.8,0,17.86,17.86,55.2,0.59,0,CIRCANA_SYNTHETIC,0,1.1162,2026-09-03T10:30:00Z
FCT000040,W0035,05-28-2026,2026,11,Q4,MKT005,Phoenix,AZ,West,CH005,Club,RET002,Regional Foods,Regional,CAT001,Deodorants & Fragrances,SUB001,Aerosol Deodorant,MFG004,Church & Dwight,BR016-Arm-Hammer,Arm,PROD002,682,Arm Aerosol Deodorant Light,8,OZ,1,186,186,0,0,1488,1082.52,1082.52,0,5.82,5.82,43.1,11.26,0,CIRCANA_SYNTHETIC,0,0.7275,2026-09-03T10:30:00Z
FCT000041,W0032,02-19-2026,2025,2,Q1,MKT005,Phoenix,AZ,West,CH004,E-Commerce,RET003,Pharmacy Plus,Regional,CAT001,Deodorants & Fragrances,SUB001,Aerosol Deodorant,MFG005,Colgate Palmolive,BR025-Palmolive,Palmolive,PROD004,981,Palmolive Aerosol Deodorant Fresh,24,PACK,3,271,271,0,0,19512,701.89,701.89,0,2.59,2.59,37.2,10.15,0,CIRCANA_SYNTHETIC,0,0.036,2026-09-03T10:30:00Z
FCT000042,W0018,06-18-2026,2026,10,Q4,MKT001,New York,NY,Northeast,CH002,Drug Store,RET004,Online Direct,National,CAT001,Deodorants & Fragrances,SUB003,Roll-On Deodorant,MFG005,Colgate Palmolive,BR024-Lady-Speed-Stick,Lady,PROD205,521,Lady Roll-On Deodorant Classic,6,ROLL,3,500,375,125,125,9000,5550.0,4271.25,1278.75,11.39,10.23,27.8,2.5,1,CIRCANA_SYNTHETIC,33.33,0.5683,2026-09-03T10:30:00Z
FCT000043,W0021,07-16-2026,2026,7,Q3,MKT001,New York,NY,Northeast,CH004,E-Commerce,RET001,National Grocery Co,National,CAT001,Deodorants & Fragrances,SUB004,Gel Deodorant,MFG003,Henkel,BR013-Monsavon,Monsavon,PROD305,740,Monsavon Gel Deodorant Classic,48,ROLL,1,386,386,0,0,18528,2435.66,2435.66,0,6.31,6.31,47.1,11.37,0,CIRCANA_SYNTHETIC,0,0.1315,2026-09-03T10:30:00Z
FCT000044,W0008,08-27-2026,2026,11,Q4,MKT009,Dallas,TX,South,CH002,Drug Store,RET003,Pharmacy Plus,Regional,CAT001,Deodorants & Fragrances,SUB002,Stick Deodorant,MFG004,Church & Dwight,BR019-Brut,Brut,PROD103,961,Brut Stick Deodorant Original,8,FL OZ,5,413,413,0,0,16520,954.03,954.03,0,2.31,2.31,50.6,3.45,0,CIRCANA_SYNTHETIC,0,0.0578,2026-09-03T10:30:00Z
FCT000045,W0031,02-05-2026,2025,4,Q2,MKT008,San Diego,CA,West,CH003,Mass Merchandiser,RET005,Warehouse Club,National,CAT001,Deodorants & Fragrances,SUB001,Aerosol Deodorant,MFG003,Henkel,BR014-Dial,Dial,PROD002,908,Dial Aerosol Deodorant Classic,30,CT,5,369,332,37,37,55350,5042.36,4545.08,497.28,13.69,13.44,84.8,4.22,1,CIRCANA_SYNTHETIC,11.14,0.0896,2026-09-03T10:30:00Z
FCT000046,W0043,01-29-2026,2025,3,Q1,MKT001,New York,NY,Northeast,CH003,Mass Merchandiser,RET003,Pharmacy Plus,Regional,CAT001,Deodorants & Fragrances,SUB005,Antiperspirant,MFG005,Colgate Palmolive,BR025-Palmolive,Palmolive,PROD403,814,Palmolive Antiperspirant Organic,24,FL OZ,5,448,325,123,123,53760,8533.31,6353.75,2179.56,19.55,17.72,90.0,13.06,1,CIRCANA_SYNTHETIC,37.85,0.1477,2026-09-03T10:30:00Z
FCT000047,W0043,09-18-2025,2025,11,Q4,MKT001,New York,NY,Northeast,CH003,Mass Merchandiser,RET004,Online Direct,National,CAT001,Deodorants & Fragrances,SUB002,Stick Deodorant,MFG004,Church & Dwight,BR019-Brut,Brut,PROD104,965,Brut Stick Deodorant Classic,4,CT,5,303,303,0,0,6060,7332.6,7332.6,0,24.2,24.2,44.9,1.6,0,CIRCANA_SYNTHETIC,0,1.21,2026-09-03T10:30:00Z
FCT000048,W0031,09-18-2025,2025,5,Q2,MKT001,New York,NY,Northeast,CH002,Drug Store,RET004,Online Direct,National,CAT001,Deodorants & Fragrances,SUB005,Antiperspirant,MFG002,Procter & Gamble,BR006-Gillette,Gillette,PROD404,835,Gillette Antiperspirant Classic,30,OZ,3,546,369,177,177,49140,11712.18,7970.4,3741.78,21.6,21.14,48.5,4.82,1,CIRCANA_SYNTHETIC,47.97,0.2349,2026-09-03T10:30:00Z
FCT000049,W0007,10-02-2025,2025,11,Q4,MKT004,Houston,TX,South,CH003,Mass Merchandiser,RET002,Regional Foods,Regional,CAT001,Deodorants & Fragrances,SUB005,Antiperspirant,MFG001,Unilever,BR004-Rexona,Rexona,PROD401,483,Rexona Antiperspirant Classic,8,FL OZ,1,277,277,0,0,2216,847.62,847.62,0,3.06,3.06,79.7,4.47,0,CIRCANA_SYNTHETIC,0,0.3825,2026-09-03T10:30:00Z
FCT000050,W0006,12-04-2025,2025,7,Q3,MKT007,San Antonio,TX,South,CH005,Club,RET002,Regional Foods,Regional,CAT001,Deodorants & Fragrances,SUB002,Stick Deodorant,MFG002,Procter & Gamble,BR007-Old Spice,Old Spice,PROD105,923,Old Spice Stick Deodorant Classic,8,CT,4,304,304,0,0,9728,5067.68,5067.68,0,16.67,16.67,54.5,10.04,0,CIRCANA_SYNTHETIC,0,0.5209,2026-09-03T10:30:00Z
FCT000051,W0041,02-26-2026,2025,12,Q4,MKT002,Los Angeles,CA,West,CH004,E-Commerce,RET003,Pharmacy Plus,Regional,CAT001,Deodorants & Fragrances,SUB005,Antiperspirant,MFG005,Colgate Palmolive,BR023-Colgate,Colgate,PROD402,816,Colgate Antiperspirant Light,12,ROLL,4,360,283,77,77,17280,1570.43,1259.35,311.08,4.45,4.04,46.9,4.51,1,CIRCANA_SYNTHETIC,27.21,0.0842,2026-09-03T10:30:00Z
FCT000052,W0019,09-25-2025,2025,4,Q2,MKT001,New York,NY,Northeast,CH005,Club,RET001,National Grocery Co,National,CAT001,Deodorants & Fragrances,SUB004,Gel Deodorant,MFG005,Colgate Palmolive,BR024-Lady-Speed-Stick,Lady,PROD303,743,Lady Gel Deodorant Original,12,PACK,3,324,162,162,162,11664,5579.28,2849.58,2729.7,17.59,16.85,69.4,12.59,1,CIRCANA_SYNTHETIC,100.0,0.4681,2026-09-03T10:30:00Z
FCT000053,W0019,04-16-2026,2026,12,Q4,MKT001,New York,NY,Northeast,CH005,Club,RET003,Pharmacy Plus,Regional,CAT001,Deodorants & Fragrances,SUB003,Roll-On Deodorant,MFG002,Procter & Gamble,BR006-Gillette,Gillette,PROD204,944,Gillette Roll-On Deodorant Classic,8,PACK,3,190,139,51,51,4560,2690.72,1975.19,715.53,14.21,14.03,82.3,3.93,1,CIRCANA_SYNTHETIC,36.69,0.5846,2026-09-03T10:30:00Z
FCT000054,W0052,01-01-2026,2025,6,Q2,MKT008,San Diego,CA,West,CH001,Grocery,RET002,Regional Foods,Regional,CAT001,Deodorants & Fragrances,SUB003,Roll-On Deodorant,MFG002,Procter & Gamble,BR009-Native,Native,PROD201,788,Native Roll-On Deodorant Light,30,OZ,3,454,454,0,0,40860,6510.36,6510.36,0,14.34,14.34,54.1,10.13,0,CIRCANA_SYNTHETIC,0,0.1593,2026-09-03T10:30:00Z
FCT000055,W0021,12-04-2025,2025,4,Q2,MKT004,Houston,TX,South,CH004,E-Commerce,RET001,National Grocery Co,National,CAT001,Deodorants & Fragrances,SUB003,Roll-On Deodorant,MFG005,Colgate Palmolive,BR025-Palmolive,Palmolive,PROD201,411,Palmolive Roll-On Deodorant Classic,48,FL OZ,6,375,375,0,0,108000,4271.25,4271.25,0,11.39,11.39,30.5,14.2,0,CIRCANA_SYNTHETIC,0,0.0395,2026-09-03T10:30:00Z
FCT000056,W0043,10-09-2025,2025,12,Q4,MKT009,Dallas,TX,South,CH002,Drug Store,RET004,Online Direct,National,CAT001,Deodorants & Fragrances,SUB001,Aerosol Deodorant,MFG004,Church & Dwight,BR018-Purity,Purity,PROD002,133,Purity Aerosol Deodorant Light,8,ROLL,6,540,350,190,190,25920,2248.5,1498.0,750.5,4.28,3.95,50.6,14.28,1,CIRCANA_SYNTHETIC,54.29,0.0823,2026-09-03T10:30:00Z
