sales_record_id,week_id,week_ending_date,fiscal_year,fiscal_month,quarter,market_id,market_name,state,region,channel_id,channel_name,retailer_id,retailer_name,retailer_scope,category_id,category_name,subcategory_id,subcategory_name,manufacturer_id,manufacturer_name,brand_id,brand_name,product_id,upc,product_description,package_size,package_uom,pack_count,units_sold,base_units,incremental_units,promo_units,volume_sold,dollar_sales,base_dollar_sales,promo_dollar_sales,average_unit_price,realized_unit_price,distribution_pct,market_share_pct,is_promoted,data_source,promo_lift_pct,price_per_volume_unit,load_timestamp
FCT000001,W0023,07-02-2026,2026,2,Q1,MKT016,San Diego,CA,West,CH001,Grocery,RET006,Family Foods,Regional,CAT001,Salty Snacks,SUB001,Potato Chips,MFG003,Summit Snacks Inc,BR010,CrispCo Naturals,PROD00009,9,CrispCo Naturals Potato Chips Light,7,OZ,6,71,71,0,0,2982,301.64,301.64,0,4.25,4.25,34.6,0.33,0,CIRCANA_SYNTHETIC,0,0.1012,2026-09-03T10:30:00Z
FCT000002,W0007,18-10-2025,2025,10,Q4,MKT016,San Diego,CA,West,CH001,Grocery,RET005,Fresh Market,Regional,CAT004,Cereal,SUB009,Granola,MFG007,FreshFields Consumer Products,BR004,DailyGood,PROD00072,72,DailyGood Granola Light,12,OZ,1,358,358,0,0,4296,1989.36,1989.36,0,5.56,5.56,59.2,2.3,0,CIRCANA_SYNTHETIC,0,0.4631,2026-09-03T10:30:00Z
FCT000003,W0012,22-11-2025,2025,11,Q4,MKT009,Dallas,TX,South,CH004,Convenience,RET004,QuickStop,Regional,CAT003,Packaged Bread,SUB007,Whole Wheat Bread,MFG006,Golden Grain Foods,BR006,Golden Grain,PROD00055,55,Golden Grain Whole Wheat Bread Family Size,24,OZ,6,374,374,0,0,53856,1994.85,1994.85,0,5.33,5.33,57.1,2.18,0,CIRCANA_SYNTHETIC,0,0.037,2026-09-03T10:30:00Z
FCT000004,W0051,22-08-2026,2026,8,Q3,MKT008,Nashville,TN,Southeast,CH001,Grocery,RET001,National Grocery,National,CAT004,Cereal,SUB009,Granola,MFG007,FreshFields Consumer Products,BR004,DailyGood,PROD00071,71,DailyGood Granola Classic,12,OZ,1,149,149,0,0,1788,844.87,844.87,0,5.67,5.67,67.6,0.32,0,CIRCANA_SYNTHETIC,0,0.4725,2026-09-03T10:30:00Z
FCT000005,W0036,09-05-2026,2026,5,Q2,MKT004,Columbus,OH,Midwest,CH001,Grocery,RET006,Family Foods,Regional,CAT003,Packaged Bread,SUB007,Whole Wheat Bread,MFG006,Golden Grain Foods,BR006,Golden Grain,PROD00055,55,Golden Grain Whole Wheat Bread Family Size,24,OZ,6,162,162,0,0,23328,723.03,723.03,0,4.46,4.46,43.4,0.58,0,CIRCANA_SYNTHETIC,0,0.031,2026-09-03T10:30:00Z
FCT000006,W0007,18-10-2025,2025,10,Q4,MKT004,Columbus,OH,Midwest,CH004,Convenience,RET004,QuickStop,Regional,CAT005,Household Cleaning,SUB010,Laundry Detergent,MFG007,FreshFields Consumer Products,BR004,DailyGood,PROD00080,80,DailyGood Laundry Detergent Honey,46,FL OZ,6,290,290,0,0,80040,4936.75,4936.75,0,17.02,17.02,71.4,5.76,0,CIRCANA_SYNTHETIC,0,0.0617,2026-09-03T10:30:00Z
FCT000007,W0017,27-12-2025,2025,12,Q4,MKT015,Los Angeles,CA,West,CH001,Grocery,RET001,National Grocery,National,CAT004,Cereal,SUB008,Ready-to-Eat Cereal,MFG007,FreshFields Consumer Products,BR004,DailyGood,PROD00063,63,DailyGood Ready-to-Eat Cereal Original,18,OZ,2,256,256,0,0,9216,1576.88,1576.88,0,6.16,6.16,61.9,1.6,0,CIRCANA_SYNTHETIC,0,0.1711,2026-09-03T10:30:00Z
FCT000008,W0011,15-11-2025,2025,11,Q4,MKT003,Minneapolis,MN,Midwest,CH002,Mass Merchandiser,RET007,SuperValue,National,CAT004,Cereal,SUB008,Ready-to-Eat Cereal,MFG007,FreshFields Consumer Products,BR004,DailyGood,PROD00064,64,DailyGood Ready-to-Eat Cereal Classic,24,OZ,2,416,294,122,122,19968,2629.92,1858.65,771.28,6.32,6.32,52.2,2.08,1,CIRCANA_SYNTHETIC,41.5,0.1317,2026-09-03T10:30:00Z
FCT000009,W0008,25-10-2025,2025,10,Q4,MKT012,Denver,CO,West,CH001,Grocery,RET001,National Grocery,National,CAT003,Packaged Bread,SUB006,White Bread,MFG002,Harvest Foods Group,BR003,Harvest Select,PROD00051,51,Harvest Select White Bread Light,20,OZ,1,551,407,144,144,11020,2070.47,1529.37,541.1,3.76,3.76,52,2,1,CIRCANA_SYNTHETIC,35.38,0.1879,2026-09-03T10:30:00Z
FCT000010,W0030,28-03-2026,2026,3,Q1,MKT012,Denver,CO,West,CH001,Grocery,RET001,National Grocery,National,CAT003,Packaged Bread,SUB007,Whole Wheat Bread,MFG002,Harvest Foods Group,BR003,Harvest Select,PROD00057,57,Harvest Select Whole Wheat Bread Classic,20,OZ,1,194,194,0,0,3880,786.43,786.43,0,4.05,4.05,73.4,0.58,0,CIRCANA_SYNTHETIC,0,0.2027,2026-09-03T10:30:00Z
FCT000011,W0013,29-11-2025,2025,11,Q4,MKT018,Boston,MA,Northeast,CH001,Grocery,RET001,National Grocery,National,CAT006,Coffee,SUB013,Coffee Pods,MFG007,FreshFields Consumer Products,BR012,DailyGood Organic,PROD00100,100,DailyGood Organic Coffee Pods Light,24,CT,1,353,253,100,100,8472,3928.28,2815.45,1112.83,11.13,11.13,50.3,4.39,1,CIRCANA_SYNTHETIC,39.53,0.4637,2026-09-03T10:30:00Z
