week_ending_date,marketplace,brand_name,format_type,online_price_usd,retail_price_usd,price_gap_pct,online_availability_pct,inventory_days_supply,units_sold_online,online_conversion_rate,customer_rating,review_count,brand_mentions,search_volume_index,traffic_rank,category_rank
2026-09-07,Amazon,Dove,Aerosol,3.99,4.29,-7.0,98,45,1250,3.2,4.6,2847,845,132,2,1
2026-09-07,Amazon,Degree,Aerosol,4.49,4.79,-6.3,96,38,980,2.8,4.5,1924,756,98,3,2
2026-09-07,Amazon,Old Spice,Aerosol,3.79,3.99,-5.0,94,42,670,2.5,4.4,1456,623,87,5,3
2026-09-07,Amazon,Axe,Aerosol,3.49,3.69,-5.7,91,35,540,2.2,4.3,987,512,76,7,4
2026-09-07,Amazon,Dove,Stick,2.99,3.19,-6.3,87,28,890,2.9,4.7,2156,654,98,4,5
2026-09-07,Amazon,Degree,Stick,3.29,3.49,-5.7,85,25,612,2.4,4.6,1834,598,82,6,6
2026-09-07,Amazon,Secret,Stick,3.49,3.79,-8.0,88,32,754,2.7,4.8,2012,702,101,3,7
2026-09-07,Amazon,Dove,Gel,3.29,3.49,-5.7,92,39,1123,3.4,4.7,2234,756,145,1,8
2026-09-07,Amazon,Native,Gel,4.99,5.29,-5.7,81,22,456,3.1,4.6,1567,634,124,4,9
2026-09-07,Amazon,Rexona,Roll-On,2.49,2.79,-10.8,79,18,234,2.1,4.2,645,389,54,9,10
2026-09-07,Walmart,Dove,Aerosol,3.88,4.29,-9.5,99,52,1587,3.5,4.6,1923,1245,156,1,1
2026-09-07,Walmart,Great Value,Aerosol,1.99,2.19,-9.1,97,48,2145,4.2,3.9,456,2341,89,2,2
2026-09-07,Walmart,Degree,Aerosol,4.38,4.79,-8.6,95,41,1034,3.0,4.5,1245,923,112,3,3
2026-09-07,Walmart,Dove,Stick,2.88,3.19,-9.7,96,35,1156,3.3,4.7,1834,987,134,2,4
2026-09-07,Walmart,Great Value,Stick,1.68,1.99,-15.6,98,32,2341,4.8,3.8,234,2156,76,1,5
2026-09-07,Walmart,Dove,Gel,3.18,3.49,-8.9,94,42,1245,3.6,4.7,2123,945,167,1,6
2026-09-07,Target,Dove,Aerosol,3.99,4.29,-7.0,92,44,1123,3.1,4.6,2012,834,128,2,1
2026-09-07,Target,Good & Gather,Aerosol,2.49,2.99,-16.7,88,28,876,3.8,4.0,345,1567,95,3,2
2026-09-07,Target,Degree,Aerosol,4.49,4.79,-6.3,89,36,689,2.9,4.5,1456,756,104,4,3
2026-09-07,Target,Dove,Stick,2.99,3.19,-6.3,90,33,945,3.2,4.7,1723,876,124,3,4
2026-09-07,Target,Secret,Stick,3.49,3.79,-8.0,87,29,678,2.8,4.8,1834,923,136,2,5
2026-09-07,Walgreens,Dove,Aerosol,4.29,4.29,0.0,85,32,456,2.4,4.6,1245,567,98,5,1
2026-09-07,Walgreens,Degree,Aerosol,4.99,4.79,4.2,82,28,345,2.0,4.5,978,456,76,6,2
2026-09-07,Walgreens,Dove,Stick,3.29,3.19,3.1,81,24,312,2.3,4.7,1156,512,87,7,3
2026-09-07,Walgreens,Secret,Stick,3.99,3.79,5.3,78,20,234,2.1,4.8,1234,678,96,6,4
2026-09-14,Amazon,Dove,Aerosol,3.99,4.29,-7.0,96,42,1289,3.3,4.6,2876,852,135,2,1
2026-09-14,Amazon,Degree,Aerosol,4.49,4.79,-6.3,94,36,1012,2.9,4.5,1945,768,101,3,2
2026-09-14,Amazon,Old Spice,Aerosol,3.79,3.99,-5.0,92,40,698,2.6,4.4,1478,635,90,5,3
2026-09-14,Amazon,Dove,Stick,2.99,3.19,-6.3,85,26,912,3.0,4.7,2187,667,102,4,4
2026-09-14,Amazon,Dove,Gel,3.29,3.49,-5.7,94,41,1245,3.5,4.7,2345,768,152,1,5
2026-09-14,Walmart,Dove,Aerosol,3.88,4.29,-9.5,98,50,1634,3.6,4.6,1945,1267,160,1,1
2026-09-14,Walmart,Great Value,Aerosol,1.99,2.19,-9.1,96,46,2198,4.3,3.9,467,2389,92,2,2
2026-09-14,Walmart,Dove,Stick,2.88,3.19,-9.7,95,33,1189,3.4,4.7,1867,1001,138,2,3
2026-09-14,Target,Dove,Aerosol,3.99,4.29,-7.0,90,42,1156,3.2,4.6,2034,846,131,2,1
2026-09-14,Target,Good & Gather,Aerosol,2.49,2.99,-16.7,86,26,901,3.9,4.0,356,1589,98,3,2
2026-09-21,Amazon,Dove,Aerosol,3.99,4.29,-7.0,94,40,1312,3.4,4.6,2901,864,138,2,1
2026-09-21,Amazon,Degree,Aerosol,4.49,4.79,-6.3,92,34,1045,3.0,4.5,1967,780,105,3,2
2026-09-21,Amazon,Dove,Stick,2.99,3.19,-6.3,83,24,934,3.1,4.7,2209,679,106,4,3
2026-09-21,Amazon,Dove,Gel,3.29,3.49,-5.7,96,43,1289,3.6,4.7,2378,780,156,1,4
2026-09-21,Walmart,Dove,Aerosol,3.88,4.29,-9.5,97,48,1667,3.7,4.6,1967,1289,164,1,1
2026-09-21,Walmart,Great Value,Aerosol,1.99,2.19,-9.1,95,44,2245,4.4,3.9,478,2423,96,2,2
2026-09-21,Walmart,Dove,Stick,2.88,3.19,-9.7,94,31,1212,3.5,4.7,1890,1023,142,2,3
2026-09-21,Target,Dove,Aerosol,3.99,4.29,-7.0,88,40,1189,3.3,4.6,2056,858,134,2,1
2026-09-21,Target,Degree,Aerosol,4.49,4.79,-6.3,86,32,734,3.0,4.5,1289,834,117,3,2
2026-09-28,Amazon,Dove,Aerosol,4.09,4.29,-4.7,92,38,1345,3.5,4.6,2923,876,141,2,1
2026-09-28,Amazon,Degree,Aerosol,4.59,4.79,-4.2,90,32,1078,3.1,4.5,1989,792,109,3,2
2026-09-28,Amazon,Dove,Stick,3.09,3.19,-3.1,81,22,956,3.2,4.7,2231,691,110,4,3
2026-09-28,Amazon,Dove,Gel,3.39,3.49,-2.9,94,41,1321,3.7,4.7,2401,792,160,1,4
2026-09-28,Walmart,Dove,Aerosol,3.98,4.29,-7.2,96,46,1701,3.8,4.6,1989,1301,168,1,1
